StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_NPS_GROUP,Q1,Q2_1,Q2_2,Q2_3,Q3,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"On a scale of 0-10, how funny did you find the clip? - Group","On a scale of 0-10, how funny did you find the clip?",How would you rate the clip on the following qualities? - Engagement,How would you rate the clip on the following qualities? - Entertainment Value,How would you rate the clip on the following qualities? - Content,"After seeing this video, how likely or unlikely are you to watch more of the show that was featured",Why or why not?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7_TEXT""}"
2020-05-06 11:13:43,2020-05-06 11:15:39,0,210.14.98.59,100,115,1,2020-05-06 11:15:39,R_wWVkrcFIMehToel,,,,,16.7826995849609375,96.177093505859375,anonymous,EN,1,6,4,4,5,3,"I get bored really easily and this show seems like it will have engaging scenes like the one I just saw but will be a waste of my time overall. I think I would rather go on YouTube and type the name of the show and add funny scenes at the end. "
2020-05-06 11:10:17,2020-05-06 11:16:56,0,79.98.240.186,100,398,1,2020-05-06 11:16:56,R_UzF6aNlFTdFDiWB,,,,,49.98199462890625,36.2566070556640625,anonymous,EN,1,6,4,4,3,3,"I’ll probably google the show. And watch one episode to know what’s that about. However I don’t think the artistic and entertainment value of the show are very high, compared to more recent shows"
2020-05-06 17:30:10,2020-05-06 17:32:25,0,121.99.44.176,100,135,1,2020-05-06 17:32:25,R_C8o3SOP8Yz5bG0N,,,,,-40.4333038330078125,175.54998779296875,anonymous,EN,1,5,3,4,3,6,"It gave a clear impression that the show was a sitcom and those types of shows aren't that interesting to me. "
2020-05-08 10:02:24,2020-05-08 10:04:29,0,197.156.77.12,100,124,1,2020-05-08 10:04:30,R_2Y9Xj77FLBfvcQO,,,,,9.0243072509765625,38.74920654296875,anonymous,EN,1,5,3,2,2,6,"It's not that interesting, I better watch other shows which I already know are funny rather than this. "
2020-05-08 18:15:27,2020-05-08 18:16:39,0,42.189.114.164,100,71,1,2020-05-08 18:16:39,R_svbYFHlpSpHOR6F,,,,,4.630706787109375,101.045806884765625,anonymous,EN,1,6,4,3,3,2,
2020-05-09 01:01:28,2020-05-09 01:02:27,0,154.66.37.170,100,58,1,2020-05-09 01:02:27,R_C4DGr4wn7d3nHb3,,,,,7.3885955810546875,3.8961029052734375,anonymous,EN,2,8,4,4,4,2,
2020-05-09 07:29:10,2020-05-09 07:29:47,0,2.133.56.230,100,36,1,2020-05-09 07:29:47,R_w4rMdLuHfGr5pPH,,,,,51.187896728515625,71.435699462890625,anonymous,EN,2,7,5,4,3,4,"I'm not a huge fan of American humor "
2020-05-09 07:46:36,2020-05-09 07:48:24,0,103.212.118.99,100,108,1,2020-05-09 07:48:25,R_djwQFMJJshESFeV,,,,,47.91729736328125,106.917694091796875,anonymous,EN,1,0,4,3,3,7,"Because the female character and the brown haired guy who acted like he didn't know the woman he was just kissing pissed the F out of me. "
2020-05-10 06:13:11,2020-05-10 06:14:08,0,223.137.240.52,100,57,1,2020-05-10 06:14:08,R_29voiT8c1EZJcDL,,,,,25.0478057861328125,121.53179931640625,anonymous,EN,1,6,4,4,3,3,"I like comedies "
2020-05-10 07:53:02,2020-05-10 07:53:38,0,192.158.229.63,100,35,1,2020-05-10 07:53:38,R_2YlyhPULEZBlznC,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,2,8,4,4,4,2,
2020-05-10 08:31:29,2020-05-10 08:39:50,0,223.190.124.54,100,500,1,2020-05-10 08:39:50,R_d5qvKsFWMsKCtUZ,,,,,28.6504058837890625,77.237213134765625,anonymous,EN,2,7,4,3,3,3,"It seemed like a decent sitcom, but I prefer a contemporary and higher production value like silicon valley or Brooklyn nine nine. "
